127.0.0.1 - - [24/Mar/2021:00:45:02 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [24/Mar/2021:00:45:08 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [24/Mar/2021:00:45:09 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [24/Mar/2021:00:45:17 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [24/Mar/2021:00:45:53 -0300] "POST /gerenciador/novaEmpresa;jsessionid=C1575A15F6F1EB6A888ABCCB034B3C72 HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [24/Mar/2021:01:28:57 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [24/Mar/2021:01:29:08 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:01:29:09 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [24/Mar/2021:01:29:20 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [24/Mar/2021:01:29:21 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [24/Mar/2021:01:29:21 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [24/Mar/2021:01:29:21 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [24/Mar/2021:01:29:22 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 319
